,Question,Option 1,Option 2,Option 3,Option 4,Answer,Explanation,Source,Section,Working Group,Series
1713,What is the purpose of the IE ModulationOrder in RRC protocol?,To convey the minimum required bandwidth for a UE,To indicate the maximum supported modulation order,To specify the preferred coding scheme for data transmission,To negotiate the maximum number of simultaneous bearers,Option 2,"The IE ModulationOrder is used to convey the maximum supported modulation order, which is essential for the eNodeB to determine the suitable modulation and coding scheme for data transmission to the UE. This information element helps in optimizing the radio resource allocation and ensuring efficient data transfer over the air interface.",3GPP TS 38.331,– ModulationOrder,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
1714,"What happens to the current AS keys KRRCenc, KUPenc (if available), and KUPint (if available) at the gNB/ng-eNB after sending the RRCRelease with suspendConfig message to the UE?",The gNB/ng-eNB keeps all the current AS keys.,"The gNB/ng-eNB deletes KRRCenc, KUPenc (if available), and KUPint (if available) but keeps KRRCint.","The gNB/ng-eNB updates KRRCenc, KUPenc (if available), and KUPint (if available) with new values.",The gNB/ng-eNB does not take any action on the current AS keys.,Option 2,"According to the security procedures for state transition from RRC_CONNECTED to RRC_INACTIVE, after sending the RRCRelease with suspendConfig message to the UE, the gNB/ng-eNB deletes the current AS keys KRRCenc, KUPenc (if available), and KUPint (if available) but keeps the current AS key KRRCint.",3GPP TS 33.501,6.8.2.1.2 State transition from RRC_CONNECTED to RRC_INACTIVE,SA WG3,"3GPP Series : 33 , Security aspects"
1715,Which NF consumers are allowed to request modification of an existing subscription to event notifications using the Nudm_EventExposure_ModifySubscription service operation?,AMF and SMF,NEF and SMS-GMSC,PCF and UDM,AF and AS,Option 2,"The Nudm_EventExposure_ModifySubscription service operation allows NF consumers, specifically the Network Exposure Function (NEF) and the Short Message Service - Gateway Mobile Switching Centre (SMS-GMSC), to request modification of an existing subscription to event notifications.",3GPP TS 23.502,5.2.3.5.5 Nudm_EventExposure_ModifySubscription service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
1716,What is the purpose of using the DEFAULT keyword when declaring a field with optional presence in ASN.1 syntax?,To indicate that the field can be omitted and carries different semantics than any normal value.,To identify a default value to be assumed if the sender does not include a value for that field in the encoding.,To specify the need code for the optionally present field.,To add OPTIONAL keywords for capability groups.,Option 2,The DEFAULT keyword is used to identify a default value to be assumed if the sender does not include a value for that field in the encoding. This allows the receiver to assume a specific value for the field even if it is not explicitly included in the message.,3GPP TS 38.331,A.3.5 Fields with optional presence,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
1717,What is the primary purpose of the Nnef_EventExposure_Unsubscribe service operation in the 5G System (5GS)?,To create a new event exposure subscription in the Network Exposure Function (NEF).,To modify an existing event exposure subscription in the NEF.,To retrieve information about an event exposure subscription from the NEF.,To delete an already defined event exposure subscription in the NEF.,Option 4,The Nnef_EventExposure_Unsubscribe service operation is used by the NF consumer to delete an event exposure subscription that has already been defined in the Network Exposure Function (NEF). This operation requires a Subscription Correlation ID as input and returns an operation execution result indication as output.,3GPP TS 23.502,5.2.6.2.3 Nnef_EventExposure_Unsubscribe service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
1718,"What protocol does NG-RAN use for establishing the first connection, and what is the reference for this protocol?",SCTP (IETF RFC 4960),TCP (IETF RFC 793),UDP (IETF RFC 768),HTTP (IETF RFC 7230),Option 1,"NG-RAN uses the Stream Control Transmission Protocol (SCTP) for establishing the first connection, which is specified in IETF RFC 4960. This protocol is used for reliable data transfer between IP endpoints.",3GPP TS 38.300,15.3.1.2 SCTP initialization,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
1719,What value does the UE set for ue-Identity if upper layers do not provide a 5G-S-TMSI?,A 39-bit random value in the range 0..239-1,ng-5G-S-TMSI-Part1,mps-PriorityAccess,emergency,Option 1,"According to the text, if upper layers do not provide a 5G-S-TMSI, the UE draws a 39-bit random value in the range 0..239-1 and sets the ue-Identity to this value. This is specified in step 2 of setting the contents of RRCSetupRequest message.",3GPP TS 38.331,5.3.3.3 Actions related to transmission of RRCSetupRequest message,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
1720,How does the UPF suspend traffic duplication for a UE in a Redundant steering mode?,By sending PMF-Suspend Duplication Request via the control plane of the MA PDU session.,By sending PMF-Suspend Duplication Request via the user plane of a specific access of the MA PDU session.,By sending PMF-Suspend Duplication Request via the user plane of any available access of the MA PDU session.,By sending PMF-Resume Duplication Request via the control plane of the MA PDU session.,Option 3,"In a Redundant steering mode, the UPF can suspend traffic duplication for a UE by sending a PMF-Suspend Duplication Request message. This message is sent via the user plane of any available access of the MA PDU session, allowing the UPF to dynamically manage traffic duplication without relying on a specific access.",3GPP TS 23.502,4.22.5A Suspend and Resume Traffic Duplication,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
1721,"What is the symbol ""f1"" used for in the context of message authentication?",Computing RES and XRES,Computing MAC (Message Authentication Code),Generating AK (Anonymity Key) in normal procedures,Computing CK (Confidentiality Key),Option 2,"The symbol ""f1"" is used to denote the message authentication function that computes the MAC (Message Authentication Code). This is a critical component of secure communication, as it ensures the integrity and authenticity of messages exchanged between parties.",3GPP TS 33.102,3.2 Symbols,SA WG3,"3GPP Series : 33 , Security aspects"
1722,What type of spectrum shall the 5G system support for 5G LAN-type services?,Only licensed spectrum,Only unlicensed spectrum,Both licensed and unlicensed spectrum,Neither licensed nor unlicensed spectrum,Option 3,"The correct answer is Option 3 because the 5G system shall support use of both unlicensed as well as licensed spectrum for 5G LAN-type services, providing flexibility in deployment and utilization of available spectrum resources.",3GPP TS 22.261,6.26.2 Requirements 6.26.2.1 General,SA WG1,"3GPP Series : 22 , Service aspects (""stage 1"")"
1723,What is the primary purpose of the Configuration Transfer procedure in E-UTRAN access?,To enable the transfer of user data between two eNodeBs via X2 interface.,To facilitate the exchange of security keys between the eNodeB and the Core Network.,"To allow the transfer of information, such as IP addresses, between two eNodeBs at any time via S1 interface and the Core Network.",To optimize network performance by dynamically adjusting radio resource allocation.,Option 3,"The Configuration Transfer procedure is designed to enable the exchange of configuration data, including IP addresses, between eNodeBs via the S1 interface and the Core Network. This allows for the use of X2 interface for Self-Optimised Networks (SON) applications, as specified in TS 36.413.",3GPP TS 23.401,5.14 Configuration Transfer procedure,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
